Date,dew,humidity,pm1,pm10,pm25,precipitation,pressure,temperature,wind speed,wind-speed
2018-12-31,,,,,,,,,,
2019-01-01,,,,,,,,,,
2019-01-02,,,,,,,,,,
2019-01-03,,,,,,,,,,
2019-01-04,,,,,,,,,,
2019-01-05,,,,,,,,,,
2019-01-06,,,,,,,,,,
2019-01-07,,,,,,,,,,
2019-01-08,,,,,,,,,,
2019-01-09,,,,,,,,,,
2019-01-10,,,,,,,,,,
2019-01-11,,,,,,,,,,
2019-01-12,,,,,,,,,,
2019-01-13,,,,,,,,,,
2019-01-14,,,,,,,,,,
2019-01-15,,,,,,,,,,
2019-01-16,,,,,,,,,,
2019-01-17,,,,,,,,,,
2019-01-18,,,,,,,,,,
2019-01-19,,,,,,,,,,
2019-01-20,,,,,,,,,,
2019-01-21,,,,,,,,,,
2019-01-22,,,,,,,,,,
2019-01-23,,,,,,,,,,
2019-01-24,,,,,,,,,,
2019-01-25,,,,,,,,,,
2019-01-26,,,,,,,,,,
2019-01-27,,,,,,,,,,
2019-01-28,,,,,,,,,,
2019-01-29,,,,,,,,,,
2019-01-30,,,,,,,,,,
2019-01-31,,,,,,,,,,
2019-02-01,,,,,,,,,,
2019-02-02,,,,,,,,,,
2019-02-03,,,,,,,,,,
2019-02-04,,,,,,,,,,
2019-02-05,,,,,,,,,,
2019-02-06,,,,,,,,,,
2019-02-07,12.1,93.7,,,69.0,,924.5,12.8,,1.0
2019-02-08,11.5,89.5,,,51.0,,924.8,13.8,,1.5
2019-02-09,8.5,58.1,,,32.0,,922.6,13.8,,1.5
2019-02-10,6.7,52.7,,,35.0,,924.5,16.4,,1.5
2019-02-11,9.4,61.9,,,52.0,,926.3,17.6,,1.5
2019-02-12,8.6,62.4,,,55.0,,926.6,11.5,,1.0
2019-02-13,12.4,66.2,,,62.0,,927.9,20.0,,1.5
2019-02-14,13.5,77.4,,,79.0,,924.8,17.5,,1.5
2019-02-15,11.8,76.9,,,37.0,,924.1,17.8,,2.0
2019-02-16,10.5,58.5,,,40.0,,921.5,15.4,,1.5
2019-02-17,8.8,68.3,,,46.0,,919.1,9.2,,1.5
2019-02-18,11.3,92.4,,,59.0,,918.8,12.5,,1.5
2019-02-19,11.6,59.9,,,78.0,,921.0,17.2,,2.0
2019-02-20,12.5,64.0,,,62.0,,923.5,19.6,,2.0
2019-02-21,11.2,62.2,,,65.0,,923.4,14.6,,1.0
2019-02-22,13.6,61.6,,,65.0,,922.5,16.0,,1.0
2019-02-23,13.5,86.8,,,83.0,,919.0,14.3,,
2019-02-24,12.8,65.4,,,74.0,,918.1,20.3,,1.0
2019-02-25,11.0,62.3,,,46.0,,919.2,19.4,,2.5
2019-02-26,8.8,45.1,,,51.0,,919.9,19.2,,2.0
2019-02-27,9.8,82.8,,,52.0,,919.7,12.6,,2.0
2019-02-28,7.1,60.0,,,37.0,,919.0,11.1,,1.5
2019-03-01,,,,,27.0,,,,,
2019-03-02,,,,,54.0,,,,,
2019-03-03,,,,,64.0,,,,,
2019-03-04,,,,,61.0,,,,,
2019-03-05,,,,,54.0,,,,,
2019-03-06,,,,,46.0,,,,,
2019-03-07,,,,,62.0,,,,,
2019-03-08,,,,,69.0,,,,,
2019-03-09,,,,,64.0,,,,,
2019-03-10,,,,,68.0,,,,,
2019-03-11,,,,,68.0,,,,,
2019-03-12,10.3,37.3,,,75.0,,919.3,24.6,,1.5
2019-03-13,11.2,45.8,,,70.0,,921.6,25.2,,1.5
2019-03-14,12.9,50.1,,,74.0,,922.9,23.6,,2.0
2019-03-15,8.5,36.3,,,64.0,,921.9,24.4,,2.0
2019-03-16,9.5,37.1,,,70.0,,924.1,25.2,,1.5
2019-03-17,11.5,45.1,,,95.0,,921.5,24.6,,2.5
2019-03-18,11.9,68.4,,,93.0,,921.7,17.8,,1.5
2019-03-19,10.9,68.6,,,78.0,,918.7,17.2,,1.5
2019-03-20,12.2,80.7,,,83.0,,920.7,15.5,,1.5
2019-03-21,13.5,51.1,,,83.0,,919.3,25.0,,2.5
2019-03-22,9.8,39.7,,,67.0,,918.3,24.4,,1.5
2019-03-23,11.1,41.7,,,80.0,,917.3,26.0,,2.0
2019-03-24,13.5,52.8,,,124.0,,918.8,26.2,,1.5
2019-03-25,13.7,68.3,,,149.0,,921.9,19.5,,1.5
2019-03-26,13.0,88.9,,,86.0,,923.0,14.9,,1.5
2019-03-27,11.8,57.2,,,53.0,,924.0,14.7,,1.5
2019-03-28,,,,,63.0,,,,,
2019-03-29,,,,,97.0,,,,,
2019-03-30,,,,,151.0,,,,,
2019-03-31,,,,,91.0,,,,,
2019-04-01,,,,,52.0,,,,,
2019-04-02,,,,,50.0,,,,,
2019-04-03,,,,,97.0,,,,,
2019-04-04,,,,,123.0,,,,,
2019-04-05,18.3,83.5,,,136.0,,919.2,21.2,,1.0
2019-04-06,17.8,90.4,,,77.0,,920.1,19.6,,1.0
2019-04-07,16.2,68.4,,,54.0,,919.1,19.2,,1.5
2019-04-08,14.8,76.6,,,52.0,,918.5,19.0,,2.0
2019-04-09,16.2,59.6,,,61.0,,916.8,23.0,,1.5
2019-04-10,16.5,60.5,,,58.0,,920.1,18.9,,1.5
2019-04-11,,,,,69.0,,,,,
2019-04-12,,,,,79.0,,,,,
2019-04-13,,,,,74.0,,,,,
2019-04-14,,,,,70.0,,,,,
2019-04-15,,,,,67.0,,,,,
2019-04-16,,,,,66.0,,,,,
2019-04-17,,,,,58.0,,,,,
2019-04-18,,,,,48.0,,,,,
2019-04-19,15.9,57.0,,,48.0,,916.3,25.0,,3.6
2019-04-20,12.9,49.8,,,59.0,,918.0,21.0,,2.0
2019-04-21,15.7,50.5,,,90.0,,915.9,20.0,,2.5
2019-04-22,15.5,60.8,,,75.0,,917.6,25.1,,2.5
2019-04-23,17.3,62.1,,,86.0,,919.2,25.8,,1.5
2019-04-24,17.9,53.8,,,87.0,,919.2,22.6,,1.5
2019-04-25,19.3,63.8,,,87.0,,919.0,28.1,,2.0
2019-04-26,19.5,70.0,,,85.0,,917.1,22.8,,1.5
2019-04-27,20.7,84.3,,,93.0,,916.8,23.5,,1.5
2019-04-28,20.0,64.4,,,82.0,,915.9,27.3,,1.5
2019-04-29,19.2,68.0,,,100.0,,915.3,22.5,,2.5
2019-04-30,19.5,70.6,,,92.0,,917.2,23.9,,1.5
2019-05-01,18.4,54.2,,,81.0,,915.6,24.2,,3.0
2019-05-02,,,,,64.0,,,,,
2019-05-03,16.8,54.3,,,70.0,,916.5,26.8,,1.5
2019-05-04,17.6,62.4,,,59.0,,916.9,23.2,,2.5
2019-05-05,19.8,64.2,,,64.0,,917.1,24.0,,3.0
2019-05-06,17.7,52.7,,,74.0,,913.4,27.6,,1.5
2019-05-07,17.4,54.4,,,96.0,,912.9,24.0,,1.5
2019-05-08,18.7,62.1,,,136.0,,913.1,28.4,,1.5
2019-05-09,19.5,54.7,,,147.0,,911.8,24.6,,1.5
2019-05-10,20.3,74.7,,,148.0,,914.5,25.1,,1.5
2019-05-11,,,,,111.0,,,,,
2019-05-12,,,,,88.0,,,,,
2019-05-13,,,,,,,,,,
2019-05-14,,,,,,,,,,
2019-05-15,,,,,,,,,,
2019-05-16,,,,,,,,,,
2019-05-17,,,,,,,,,,
2019-05-18,,,,,,,,,,
2019-05-19,,,,,,,,,,
2019-05-20,,,,,,,,,,
2019-05-21,,,,,,,,,,
2019-05-22,,,,,,,,,,
2019-05-23,,,,,,,,,,
2019-05-24,,,,,,,,,,
2019-05-25,,,,,,,,,,
2019-05-26,,,,,,,,,,
2019-05-27,,,,,,,,,,
2019-05-28,,,,,,,,,,
2019-05-29,,,,,,,,,,
2019-05-30,,,,,,,,,,
2019-05-31,,,,,,,,,,
2019-06-01,,,,,,,,,,
2019-06-02,,,,,,,,,,
2019-06-03,,,,,,,,,,
2019-06-04,,,,,,,,,,
2019-06-05,,,,,,,,,,
2019-06-06,,,,,,,,,,
2019-06-07,,,,,,,,,,
2019-06-08,,,25.0,7.0,27.0,,,,,
2019-06-09,21.7,81.9,34.0,9.0,37.0,,913.2,25.0,,2.0
2019-06-10,22.3,68.9,36.0,9.0,38.0,,912.0,24.3,,1.5
2019-06-11,23.1,67.2,38.0,10.0,40.0,,911.0,24.5,,1.5
2019-06-12,23.2,75.8,38.0,10.0,41.0,,913.4,27.8,,0.5
2019-06-13,22.6,74.7,44.0,11.0,47.0,,913.0,26.5,,1.0
2019-06-14,21.8,65.7,33.0,9.0,35.0,,910.3,25.0,,2.0
2019-06-15,22.7,76.8,51.0,16.0,60.0,,908.6,26.6,,0.8
2019-06-16,22.3,77.4,58.0,21.0,65.0,,909.5,22.7,,0.7
2019-06-17,22.7,85.5,58.0,23.0,68.0,,909.4,22.8,,0.7
2019-06-18,20.8,65.5,37.0,17.0,51.0,,911.1,21.7,,0.6
2019-06-19,21.8,65.9,40.0,18.0,52.0,,912.1,25.3,,0.6
2019-06-20,21.6,61.5,28.0,15.0,41.0,,913.7,26.7,,0.8
2019-06-21,23.5,63.0,34.0,17.0,49.0,,912.1,27.9,,0.7
2019-06-22,22.3,93.5,26.0,7.0,29.0,,916.1,22.1,,0.6
2019-06-23,21.3,92.4,15.0,6.0,19.0,,915.9,22.2,,0.6
2019-06-24,22.9,70.0,26.0,11.0,34.0,,916.2,27.7,,0.6
2019-06-25,25.1,86.6,28.0,9.0,33.0,,915.0,25.4,,0.6
2019-06-26,22.3,66.1,22.0,10.0,28.0,,910.5,23.7,,0.7
2019-06-27,22.7,83.5,29.0,11.0,37.0,,910.3,23.9,,0.6
2019-06-28,23.9,73.8,34.0,11.0,40.0,,908.8,25.0,,0.8
2019-06-29,22.6,70.0,38.0,13.0,45.0,,910.0,25.4,,0.7
2019-06-30,22.2,83.6,55.0,19.0,60.0,,911.1,25.2,,0.6
2019-07-01,23.2,63.7,51.0,22.0,61.0,,911.1,27.4,,0.7
2019-07-02,24.5,70.4,33.0,10.0,37.0,,911.4,27.0,,0.9
2019-07-03,24.0,71.9,,,,,911.5,29.6,,2.0
2019-07-04,23.4,76.1,,,,,910.6,27.9,,2.5
2019-07-05,23.2,75.3,26.0,9.0,31.0,,909.6,28.1,,0.6
2019-07-06,23.1,80.1,12.0,4.0,15.0,,907.6,25.4,,0.8
2019-07-07,23.5,78.8,15.0,8.0,23.0,,907.4,25.3,,0.8
2019-07-08,23.8,76.3,14.0,6.0,19.0,,908.3,25.2,,0.6
2019-07-09,23.3,87.7,19.0,8.0,25.0,,908.8,24.3,,0.6
2019-07-10,23.2,79.3,16.0,8.0,23.0,,907.9,25.1,,0.6
2019-07-11,23.3,81.2,18.0,8.0,25.0,,907.7,24.9,,1.0
2019-07-12,21.8,90.9,16.0,7.0,23.0,,909.7,24.0,,0.9
2019-07-13,22.4,85.9,18.0,9.0,26.0,,910.6,24.8,,1.0
2019-07-14,22.5,81.1,15.0,5.0,19.0,,908.5,23.2,,0.9
2019-07-15,,,,,,,,,,
2019-07-16,,,,,,,,,,
2019-07-17,,,,,,,,,,
2019-07-18,,,,,,,,,,
2019-07-19,,,,,,,,,,
2019-07-20,,,,,,,,,,
2019-07-21,,,,,,,,,,
2019-07-22,,,,,,,,,,
2019-07-23,,,,,,,,,,
2019-07-24,,,,,,,,,,
2019-07-25,,,,,,,,,,
2019-07-26,,,,,,,,,,
2019-07-27,,,,,,,,,,
2019-07-28,,,,,,,,,,
2019-07-29,,,,,,,,,,
2019-07-30,,,,,,,,,,
2019-07-31,,,,,,,,,,
2019-08-01,,,,,,,,,,
2019-08-02,,,,,,,,,,
2019-08-03,,,,,,,,,,
2019-08-04,,,,,,,,,,
2019-08-05,,,,,,,,,,
2019-08-06,,,,,,,,,,
2019-08-07,,,,,,,,,,
2019-08-08,,,,,,,,,,
2019-08-09,,,,,,,,,,
2019-08-10,,,,,,,,,,
2019-08-11,,,,,,,,,,
2019-08-12,,,,,,,,,,
2019-08-13,,,,,,,,,,
2019-08-14,,,,,,,,,,
2019-08-15,,,,,,,,,,
2019-08-16,,,,,,,,,,
2019-08-17,,,,,,,,,,
2019-08-18,,,,,,,,,,
2019-08-19,,,,,,,,,,
2019-08-20,,,,,,,,,,
2019-08-21,,,,,,,,,,
2019-08-22,,,,,,,,,,
2019-08-23,,,,,,,,,,
2019-08-24,,,,,,,,,,
2019-08-25,,,,,,,,,,
2019-08-26,,,,,,,,,,
2019-08-27,,,,,,,,,,
2019-08-28,,,,,,,,,,
2019-08-29,,,,,,,,,,
2019-08-30,,,,,,,,,,
2019-08-31,,,,,,,,,,
2019-09-01,,,,,,,,,,
2019-09-02,,,,,,,,,,
2019-09-03,,,,,,,,,,
2019-09-04,,,,,,,,,,
2019-09-05,,,,,,,,,,
2019-09-06,,,,,,,,,,
2019-09-07,,,,,,,,,,
2019-09-08,,,,,,,,,,
2019-09-09,,,,,,,,,,
2019-09-10,,,,,,,,,,
2019-09-11,,,,,,,,,,
2019-09-12,,,,,,,,,,
2019-09-13,,,,,,,,,,
2019-09-14,,,,,,,,,,
2019-09-15,,,,,,,,,,
2019-09-16,,,,,,,,,,
2019-09-17,,,,,,,,,,
2019-09-18,,,,,,,,,,
2019-09-19,,,,,,,,,,
2019-09-20,,,,,,,,,,
2019-09-21,,,,,,,,,,
2019-09-22,,,,,,,,,,
2019-09-23,,,,,,,,,,
2019-09-24,,,,,,,,,,
2019-09-25,,,,,,,,,,
2019-09-26,,,,,,,,,,
2019-09-27,,,,,,,,,,
2019-09-28,20.3,85.8,,,,,919.9,,,
2019-09-29,20.7,79.5,,,,,920.9,25.0,,1.5
2019-09-30,19.8,74.7,,,,,919.3,23.2,,1.5
2019-10-01,19.9,72.7,,,,,917.8,24.7,,1.5
2019-10-02,20.7,84.3,,,,,920.0,23.8,,1.0
2019-10-03,20.3,86.9,23.0,7.0,25.0,,919.3,22.6,,0.7
2019-10-04,,,15.0,4.0,18.0,,,,,
2019-10-05,,,,,,,,,,
2019-10-06,,,,,,,,,,
2019-10-07,,,,,,,,,,
2019-10-08,,,,,,,,,,
2019-10-09,,,,,,,,,,
2019-10-10,,,,,,,,,,
2019-10-11,19.6,77.9,,,,,920.8,24.4,,1.0
2019-10-12,19.5,76.0,,,,,920.8,24.3,,1.0
2019-10-13,18.9,65.3,,,,,920.5,24.2,,1.5
2019-10-14,18.8,71.0,,,,,924.1,24.4,,1.5
2019-10-15,18.8,68.3,78.0,26.0,81.0,,922.8,19.6,,0.4
2019-10-16,19.0,67.7,64.0,21.0,65.0,,924.4,20.1,,0.5
2019-10-17,18.6,77.9,63.0,22.0,65.0,,924.5,19.6,,0.5
2019-10-18,19.9,76.1,63.0,22.0,65.0,,924.0,19.8,,0.6
2019-10-19,18.8,62.7,62.0,22.0,64.0,,924.3,20.2,,0.6
2019-10-20,19.3,86.4,88.0,31.0,92.0,,923.3,19.6,,0.4
2019-10-21,19.4,80.9,73.0,30.0,79.0,,922.0,21.6,,0.6
2019-10-22,18.9,74.1,62.0,23.0,65.0,,917.5,21.6,,0.6
2019-10-23,18.5,82.0,74.0,27.0,81.0,,918.9,20.3,,0.7
2019-10-24,15.1,84.4,67.0,23.0,70.0,,920.3,20.9,,0.7
2019-10-25,16.9,73.7,77.0,28.0,78.0,,920.0,20.3,,0.7
2019-10-26,15.3,57.3,74.0,24.0,76.0,,921.9,19.9,,0.6
2019-10-27,14.8,61.7,79.0,25.0,81.0,,921.4,21.4,,0.6
2019-10-28,17.0,74.7,75.0,23.0,77.0,,922.9,18.9,,1.0
2019-10-29,17.4,63.6,,,,,922.6,23.8,,1.5
2019-10-30,16.7,64.0,,,,,921.7,18.5,,1.5
2019-10-31,16.1,70.7,65.0,25.0,70.0,,921.7,22.3,,0.7
2019-11-01,16.6,66.3,78.0,28.0,82.0,,921.7,19.9,,0.6
2019-11-02,,,90.0,29.0,92.0,,,16.2,,0.4
2019-11-03,,,,,,,,,,
2019-11-04,17.6,74.1,61.0,17.0,63.0,,920.4,19.2,,0.6
2019-11-05,16.8,78.4,68.0,23.0,72.0,,920.5,20.8,,0.7
2019-11-06,15.4,66.9,74.0,26.0,79.0,,919.6,20.6,,0.6
2019-11-07,15.9,73.9,83.0,33.0,86.0,,920.1,22.0,,0.5
2019-11-08,15.9,73.5,80.0,32.0,83.0,18.0,921.8,21.2,,0.7
2019-11-09,18.1,72.2,78.0,25.0,80.0,,922.7,20.6,,0.5
2019-11-10,17.5,64.7,67.0,23.0,70.0,,922.1,22.7,,0.6
2019-11-11,17.5,64.7,71.0,24.0,74.0,,918.9,20.7,,0.6
2019-11-12,16.3,72.9,84.0,30.0,86.0,,920.9,20.1,,0.5
2019-11-13,16.0,68.9,76.0,28.0,80.0,,923.8,22.4,,1.0
2019-11-14,16.1,69.2,76.0,26.0,80.0,,925.7,22.7,,0.7
2019-11-15,14.3,81.5,86.0,29.0,91.0,,925.2,22.6,,0.4
2019-11-16,,,,,,,,,,
2019-11-17,,,,,,,,,,
2019-11-18,,,,,,,,,,
2019-11-19,,,,,,,,,,
2019-11-20,,,,,,,,,,
2019-11-21,,,,,,,,,,
2019-11-22,,,,,,,,,,
2019-11-23,,,,,,,,,,
2019-11-24,,,,,,,,,,
2019-11-25,,,,,,,,,,
2019-11-26,,,,,,,,,,
2019-11-27,,,,,,,,,,
2019-11-28,,,,,,,,,,
2019-11-29,,,,,,,,,,
2019-11-30,,,,,,,,,,
2019-12-01,,,,,,,,,,
2019-12-02,,,,,,,,,,
2019-12-03,,,,,,,,,,
2019-12-04,,,,,,,,,,
2019-12-05,,,,,,,,,,
2019-12-06,,,,,,,,,,
2019-12-07,,,,,,,,,,
2019-12-08,,,,,,,,,,
2019-12-09,,,,,,,,,,
2019-12-10,,,,,,,,,,
2019-12-11,,,,,,,,,,
2019-12-12,,,,,,,,,,
2019-12-13,,,,,,,,,,
2019-12-14,10.2,80.6,,,,,924.8,14.9,,1.0
2019-12-15,10.7,78.5,,,,,924.4,14.4,,1.0
2019-12-16,10.8,74.5,,,,,923.6,15.4,,2.0
2019-12-17,9.0,59.7,,,,,923.3,15.5,,1.0
2019-12-18,8.5,89.9,123.0,50.0,130.0,,924.7,11.0,,1.0
2019-12-19,8.5,78.0,111.0,53.0,125.0,,924.7,14.8,,1.5
2019-12-20,9.6,65.5,128.0,68.0,142.0,,920.7,15.3,,1.5
2019-12-21,10.7,70.8,137.0,56.0,147.0,,921.3,15.8,,1.0
2019-12-22,10.5,69.9,131.0,54.0,138.0,,923.2,16.0,,1.0
2019-12-23,10.2,88.7,153.0,64.0,154.0,,922.3,9.6,,1.0
2019-12-24,10.3,67.6,94.0,55.0,98.0,,923.2,16.0,,2.0
2019-12-25,9.7,77.3,114.0,46.0,121.0,,921.7,13.6,1.5,1.5
2019-12-26,9.6,90.5,156.0,67.0,160.0,,921.8,11.1,1.5,1.5
2019-12-27,3.4,53.0,155.0,66.0,158.0,,921.8,3.7,1.0,1.0
2019-12-28,,,,,,,,,,
2019-12-29,,,112.0,54.0,121.0,,,,,
2019-12-30,,,,,,,,,,
2019-12-31,,,156.0,78.0,158.0,,,,,
2020-01-01,,,103.0,62.0,109.0,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,61.0,17.0,62.0,,,,,
2020-01-04,,,58.0,19.0,60.0,,,11.5,1.7,1.7
2020-01-05,8.4,70.8,24.0,6.0,24.0,,921.6,13.6,1.5,1.5
